"Дата","Втрати ракетних систем залпового вогню армії рф","дельа"
2022-03-01,24,24
2022-03-02,40,16
2022-03-03,42,2
2022-03-04,50,8
2022-03-05,50,0
2022-03-06,50,0
2022-03-07,50,0
2022-03-08,56,6
2022-03-09,56,0
2022-03-10,56,0
2022-03-11,58,2
2022-03-12,62,4
2022-03-13,62,0
2022-03-14,64,2
2022-03-15,64,0
2022-03-16,70,6
2022-03-17,72,2
2022-03-18,72,0
2022-03-19,72,0
2022-03-20,74,2
2022-03-21,80,6
2022-03-22,80,0
2022-03-23,80,0
2022-03-24,82,2
2022-03-25,90,8
2022-03-26,91,1
2022-03-27,93,2
2022-03-28,95,2
2022-03-29,96,1
2022-03-30,96,0
2022-03-31,96,0
2022-04-01,96,0
2022-04-02,100,4
2022-04-03,105,5
2022-04-04,107,2
2022-04-05,107,0
2022-04-06,107,0
2022-04-07,108,1
2022-04-08,108,0
2022-04-09,108,0
2022-04-10,108,0
2022-04-11,111,3
2022-04-12,111,0
2022-04-13,115,4
2022-04-14,122,7
2022-04-15,122,0
2022-04-16,125,3
2022-04-17,127,2
2022-04-18,130,3
2022-04-19,132,2
2022-04-20,136,4
2022-04-21,136,0
2022-04-22,138,2
2022-04-23,143,5
2022-04-24,147,4
2022-04-25,149,2
2022-04-26,149,0
2022-04-27,149,0
2022-04-28,151,2
2022-04-29,151,0
2022-04-30,151,0
2022-05-01,151,0
2022-05-02,152,1
2022-05-03,162,10
2022-05-04,163,1
2022-05-05,169,6
2022-05-06,171,2
2022-05-07,172,1
2022-05-08,179,7
2022-05-09,185,6
2022-05-10,185,0
2022-05-11,185,0
2022-05-12,191,6
2022-05-13,193,2
2022-05-14,195,2
2022-05-15,195,0
2022-05-16,195,0
2022-05-17,198,3
2022-05-18,199,1
2022-05-19,199,0
2022-05-20,200,1
2022-05-21,201,1
2022-05-22,201,0
2022-05-23,201,0
2022-05-24,201,0
2022-05-25,201,0
2022-05-26,201,0
2022-05-27,201,0
2022-05-28,203,2
2022-05-29,203,0
2022-05-30,205,2
2022-05-31,207,2
2022-06-01,207,0
2022-06-02,207,0
2022-06-03,207,0
2022-06-04,207,0
2022-06-05,207,0
2022-06-06,207,0
2022-06-07,207,0
2022-06-08,213,6
2022-06-09,213,0
2022-06-10,222,9
2022-06-11,222,0
2022-06-12,226,4
2022-06-13,226,0
2022-06-14,229,3
2022-06-15,230,1
2022-06-16,233,3
2022-06-17,233,0
2022-06-18,233,0
2022-06-19,235,2
2022-06-20,238,3
2022-06-21,239,1
2022-06-22,239,0
2022-06-23,240,1
2022-06-24,241,1
2022-06-25,241,0
2022-06-26,243,2
2022-06-27,243,0
2022-06-28,243,0
2022-06-29,246,3
2022-06-30,246,0
2022-07-01,246,0
2022-07-02,246,0
2022-07-03,246,0
2022-07-04,246,0
2022-07-05,247,1
2022-07-06,247,0
2022-07-07,247,0
2022-07-08,247,0
2022-07-09,247,0
2022-07-10,247,0
2022-07-11,247,0
2022-07-12,247,0
2022-07-13,247,0
2022-07-14,247,0
2022-07-15,247,0
2022-07-16,0,
2022-07-17,248,1
2022-07-18,248,0
2022-07-19,248,0
2022-07-20,250,2
2022-07-21,251,1
2022-07-22,251,0
2022-07-23,253,2
2022-07-24,255,2
2022-07-25,257,2
2022-07-26,258,1
2022-07-27,258,0
2022-07-28,258,0
2022-07-29,258,0
2022-07-30,258,0
2022-07-31,259,1
2022-08-01,259,0
2022-08-02,259,0
2022-08-03,259,0
2022-08-04,260,1
2022-08-05,260,0
2022-08-06,260,0
2022-08-07,260,0
2022-08-08,261,1
2022-08-09,261,0
2022-08-10,261,0
2022-08-11,261,0
2022-08-12,261,0
2022-08-13,261,0
2022-08-14,261,0
2022-08-15,261,0
2022-08-16,263,2
2022-08-17,263,0
2022-08-18,265,2
2022-08-19,266,1
2022-08-20,266,0
2022-08-21,266,0
2022-08-22,266,0
2022-08-23,266,0
2022-08-24,266,0
2022-08-25,272,6
2022-08-26,272,0
2022-08-27,274,2
2022-08-28,274,0
2022-08-29,279,5
