"Дата","Скільки воєнних злочинів рф було зареєстровано прокуротурою України","дельта"
2022-03-21,2123,2123
2022-03-22,2275,152
2022-03-23,2401,126
2022-03-24,2541,140
2022-03-25,2702,161
2022-03-26,2869,167
2022-03-27,3003,134
2022-03-28,3085,82
2022-03-29,3236,151
2022-03-30,3411,175
2022-03-31,3568,157
2022-04-01,0,
2022-04-02,3927,359
2022-04-03,4079,152
2022-04-04,4204,125
2022-04-05,4468,264
2022-04-06,4684,216
2022-04-07,4820,136
2022-04-08,5149,329
2022-04-09,5377,228
2022-04-10,5629,252
2022-04-11,5899,270
2022-04-12,6036,137
2022-04-13,6261,225
2022-04-14,6492,231
2022-04-15,6673,181
2022-04-16,6889,216
2022-04-17,6999,110
2022-04-18,7130,131
2022-04-19,7280,150
2022-04-20,7462,182
2022-04-21,7661,199
2022-04-22,7836,175
2022-04-23,7999,163
2022-04-24,8124,125
2022-04-25,8183,59
2022-04-26,8326,143
2022-04-27,8488,162
2022-04-28,8653,165
2022-04-29,8824,171
2022-04-30,8991,167
2022-05-01,9158,167
2022-05-02,9247,89
2022-05-03,9366,119
2022-05-04,9602,236
2022-05-05,9831,229
2022-05-06,10089,258
2022-05-07,10257,168
2022-05-08,10373,116
2022-05-09,10464,91
2022-05-10,10619,155
2022-05-11,10785,166
2022-05-12,11022,237
2022-05-13,11239,217
2022-05-14,11439,200
2022-05-15,11564,125
2022-05-16,11674,110
2022-05-17,11846,172
2022-05-18,12118,272
2022-05-19,12595,477
2022-05-20,12836,241
2022-05-21,13093,257
2022-05-22,13232,139
2022-05-23,13341,109
2022-05-24,13516,175
2022-05-25,13748,232
2022-05-26,13983,235
2022-05-27,14193,210
2022-05-28,14388,195
2022-05-29,14513,125
2022-05-30,14594,81
2022-05-31,14842,248
2022-06-01,15007,165
2022-06-02,15228,221
2022-06-03,15446,218
2022-06-04,15637,191
2022-06-05,15828,191
2022-06-06,16018,190
2022-06-07,16209,191
2022-06-08,16400,191
2022-06-09,16591,191
2022-06-10,16781,190
2022-06-11,16972,191
2022-06-12,17163,191
2022-06-13,17354,191
2022-06-14,17544,190
2022-06-15,17735,191
2022-06-16,17926,191
2022-06-17,18117,191
2022-06-18,18308,191
2022-06-19,18498,190
2022-06-20,18689,191
2022-06-21,18880,191
2022-06-22,19071,191
2022-06-23,19261,190
2022-06-24,19452,191
2022-06-25,19643,191
2022-06-26,19834,191
2022-06-27,20025,191
2022-06-28,20215,190
2022-06-29,20406,191
2022-06-30,20597,191
2022-07-01,20788,191
2022-07-02,20978,190
2022-07-03,21169,191
2022-07-04,21360,191
2022-07-05,21551,191
2022-07-06,21741,190
2022-07-07,21932,191
2022-07-08,22123,191
2022-07-09,0,
2022-07-10,22504,381
2022-07-11,22552,48
2022-07-12,22749,197
2022-07-13,22944,195
2022-07-14,0,
2022-07-15,23370,426
2022-07-16,0,
2022-07-17,23711,341
2022-07-18,23766,55
2022-07-19,23957,191
2022-07-20,24208,251
2022-07-21,24451,243
2022-07-22,24632,181
2022-07-23,24820,188
2022-07-24,24977,157
2022-07-25,25023,46
2022-07-26,25165,142
2022-07-27,25387,222
2022-07-28,25575,188
2022-07-29,25751,176
2022-07-30,25943,192
2022-07-31,26052,109
2022-08-01,26127,75
2022-08-02,26305,178
2022-08-03,26465,160
2022-08-04,26658,193
2022-08-05,26872,214
2022-08-06,27095,223
2022-08-07,27203,108
2022-08-08,0,
2022-08-09,27440,237
2022-08-10,27619,179
2022-08-11,27791,172
2022-08-12,28038,247
2022-08-13,28231,193
2022-08-14,0,
2022-08-15,28423,192
2022-08-16,28591,168
2022-08-17,28798,207
2022-08-18,28991,193
2022-08-19,29184,193
2022-08-20,29377,193
2022-08-21,29492,115
2022-08-22,29538,46
2022-08-23,29707,169
2022-08-24,29942,235
2022-08-25,30097,155
2022-08-26,30253,156
2022-08-27,30412,159
2022-08-28,30560,148
2022-08-29,30635,75
2022-08-30,0,
2022-08-31,31059,424
2022-09-01,31217,158
2022-09-02,31506,289
2022-09-03,31738,232
2022-09-04,31871,133
2022-09-05,31946,75
2022-09-06,32093,147
2022-09-07,32288,195
2022-09-08,32459,171
2022-09-09,32678,219
2022-09-10,32900,222
2022-09-11,33049,149
2022-09-12,33135,86
2022-09-13,33323,188
2022-09-14,33649,326
2022-09-15,33916,267
2022-09-16,0,
2022-09-17,34441,525
2022-09-18,34618,177
2022-09-19,34723,105
2022-09-20,34888,165
2022-09-21,35200,312
2022-09-22,35462,262
2022-09-23,35744,282
2022-09-24,35970,226
2022-09-25,36161,191
2022-09-26,0,
2022-09-27,36483,322
2022-09-28,36751,268
2022-09-29,37037,286
2022-09-30,37306,269
2022-10-01,37519,213
2022-10-02,37706,187
2022-10-03,37794,88
2022-10-04,37988,194
2022-10-05,38222,234
2022-10-06,38387,165
2022-10-07,38647,260
2022-10-08,38893,246
2022-10-09,39107,214
2022-10-10,0,
2022-10-11,39347,240
2022-10-12,39551,204
2022-10-13,39774,223
2022-10-14,40040,266
2022-10-15,40233,193
2022-10-16,40348,115
2022-10-17,40509,161
2022-10-18,40601,92
2022-10-19,40843,242
2022-10-20,41085,242
2022-10-21,41294,209
2022-10-22,41474,180
2022-10-23,41644,170
2022-10-24,41705,61
2022-10-25,41884,179
